	start	end	text	label
0	00:00:38	00:00:42	Hey, folks, we've hit a little more of that pesky turbulence.	N
1	00:00:42	00:00:47	If you'd kindly take your seats we should be arriving on the hour.	N
2	00:00:48	00:00:50	Cheers.	N
3	00:01:40	00:01:43	The victim's name is Lori Hutchins.	N
4	00:01:43	00:01:46	Apparently, she chaperoned the horse on trips all the time.	N
5	00:01:47	00:01:51	Baggage handler found the body in the cargo hold after the passengers had disembarked.	N
6	00:01:51	00:01:53	We're going to need to process everyone on that plane.	N
7	00:01:54	00:01:56	Well, they're being corralled as we speak, partner.	N
8	00:01:56	00:01:58	Where to start?	N
9	00:01:58	00:02:01	First witness, first suspect.	N
10	00:02:04	00:02:05	The horse?	N
11	00:02:07	00:02:09	Of course.	N
12	00:03:00	00:03:02	All right, let's talk about Lori Hutchins.	N
13	00:03:02	00:03:04	What can you tell me about her?	N
14	00:03:04	00:03:07	She was sweet, polite, quiet.	N
15	00:03:07	00:03:09	Horses were her life.	N
16	00:03:09	00:03:11	She was great with them.	N
17	00:03:11	00:03:13	And she always traveled down below with the horse?	N
18	00:03:13	00:03:15	Checked on her twice during the flight.	N
19	00:03:15	00:03:17	Brought her dinner about three hours in.	N
20	00:03:17	00:03:20	She was worried about the horse, but that was nothing new.	N
21	00:03:20	00:03:22	So nothing unusual.	N
22	00:03:22	00:03:25	There was some turbulence, but nothing outrageous.	N
23	00:03:25	00:03:29	We had an emergency call button down there, if something went wrong.	N
24	00:03:29	00:03:31	Lori never used it.	N
25	00:04:05	00:04:06	Where's the horse?	N
26	00:04:07	00:04:09	USDA facility.	N
27	00:04:09	00:04:13	Mandatory 48-hour quarantine.	N
28	00:04:13	00:04:18	A hundred-pound woman trampled by a 1,400-pound horse?	N
29	00:04:18	00:04:19	Doesn't seem very fair.	N
30	00:04:27	00:04:28	Tranquilizer dart.	N
31	00:04:28	00:04:30	Changes the odds a little.	N
32	00:04:30	00:04:32	Mmm.	N
33	00:04:43	00:04:44	Yeah...	N
34	00:04:44	00:04:45	heavy artillery.	N
35	00:04:45	00:04:47	More than one way to handicap a horse.	N
36	00:06:38	00:06:40	What have you got?	N
37	00:06:40	00:06:43	Trainer had all these small syringes.	N
38	00:06:43	00:06:46	Why go for the big guns instead?	N
39	00:06:46	00:06:49	Mmm... maybe she didn't want to get too close to a spooked horse.	N
40	00:06:50	00:06:52	What about this food?	N
41	00:06:52	00:06:56	Steward said he brought her some dinner.	N
42	00:06:58	00:06:59	Guess she wasn't very hungry.	N
43	00:06:59	00:07:02	Looks like someone stepped in horse crap.	N
44	00:07:05	00:07:07	And what was the vic wearing?	N
45	00:07:07	00:07:10	Work boots, I think.	N
46	00:07:11	00:07:13	That's a funky print.	N
47	00:07:14	00:07:17	Oh... a J.P. Tod's driving loafer.	N
48	00:07:17	00:07:19	Hmm?	N
49	00:07:19	00:07:21	I may shop the outlets...	N
50	00:07:21	00:07:22	but I read Vogue.	N
51	00:07:22	00:07:25	This is Death Valley, huh?	N
52	00:07:25	00:07:28	You get lost out here, you're toast.	N
53	00:07:29	00:07:31	That may have been the idea.	N
