	Unnamed: 0	start	end	text	label
0	0	00:00:18	00:00:19	Honey, slow down.	N
1	1	00:00:24	00:00:25	Hold on a second. Hold on.	N
2	2	00:00:25	00:00:27	Leave it alone. We're already late.	N
3	3	00:00:27	00:00:29	If you hadn't told the sitter the wrong time...	N
4	4	00:00:29	00:00:30	How do I look?	N
5	5	00:00:30	00:00:32	You look great.	N
6	6	00:00:34	00:00:36	Hello. Sorry we're late.	N
7	7	00:00:36	00:00:38	No, I'm so glad you guys could make it.	N
8	8	00:00:44	00:00:46	You guys want a drink?	N
9	9	00:01:08	00:01:10	Mm...	N
10	10	00:01:33	00:01:34	Hey, fellas, what's the holdup?	N
11	11	00:01:34	00:01:35	Come on.	N
12	12	00:01:35	00:01:38	I told you half an hour ago turn the damn fountain off!	N
13	13	00:01:38	00:01:39	Give me a break.	N
14	14	00:01:39	00:01:41	You can't find good help.	N
15	15	00:01:41	00:01:46	As Lord Byron once said, In the desert, a fountain is springing.	N
16	16	00:01:46	00:01:48	Well, this one sprung a dead woman...	N
17	17	00:01:48	00:01:50	Vanessa Keaton.	N
18	18	00:01:50	00:01:52	She lived over there.	N
19	19	00:01:52	00:01:55	A neighbor walking her dog found her.	N
20	20	00:01:59	00:02:01	This is a pretty well-dressed crowd for this time of night.	N
21	21	00:02:01	00:02:02	Well, you know, it's a shindig.	N
22	22	00:02:02	00:02:04	43 Niagara Circle.	N
23	23	00:02:04	00:02:06	The vic was there with her husband.	Y
24	24	00:02:06	00:02:10	Left the party early.	Y
25	25	00:02:10	00:02:12	That's Dan Keaton, and that's his daughter Amy.	N
26	26	00:02:12	00:02:16	You know, you might want to sneak some photos of this crowd.	N
27	27	00:02:16	00:02:20	A gated community, middle of nowhere-- if this wasn't an accident, they're all suspects, aren't they?	N
28	28	00:02:30	00:02:33	Foam in her nose and mouth.	N
29	29	00:02:33	00:02:34	It's consistent with drowning.	N
30	30	00:02:35	00:02:37	Abrasion on her forehead is fresh.	N
31	31	00:02:39	00:02:43	And lividity is unfixed.	N
32	32	00:02:43	00:02:46	Well, since water motion has no effect...	N
33	33	00:02:46	00:02:48	She's been dead less than two hours.	N
34	34	00:02:48	00:02:50	Thank you. Finally!	N
35	35	00:02:51	00:02:53	Still waters run deep.	N
36	36	00:03:31	00:03:33	I can't do this right now.	N
37	37	00:03:33	00:03:34	What, a little hungover?	N
38	38	00:03:34	00:03:36	Too much to drink, maybe?	N
39	39	00:03:36	00:03:39	We'll have a police officer get you some water.	N
40	40	00:03:39	00:03:41	Bernie.	N
41	41	00:03:41	00:03:43	So, the last time you saw your wife was at the party?	N
42	42	00:03:43	00:03:45	Erin and Paul Brady's.	N
43	43	00:03:45	00:03:47	But you left early without your wife, right?	N
44	44	00:03:49	00:03:51	Yeah, I wasn't in the mood.	Y
45	45	00:03:51	00:03:53	She was.	Y
46	46	00:03:53	00:03:54	For what?	N
47	47	00:03:54	00:03:57	Partying.	Y
48	48	00:03:58	00:04:00	What time did you leave?	Y
49	49	00:04:01	00:04:04	00, I think.	Y
50	50	00:04:04	00:04:05	Anyone see you come home?	Y
51	51	00:04:05	00:04:06	Maybe your daughter? This is Amy, right?	Y
52	52	00:04:06	00:04:07	I went out with friends.	N
53	53	00:04:07	00:04:10	00. I was a little late.	N
54	54	00:04:10	00:04:13	So, Amy, did you see your parents when you came in?	Y
55	55	00:04:13	00:04:15	My mom was in Detroit.	Y
56	56	00:04:15	00:04:17	Vanessa's my stepmom.	N
57	57	00:04:18	00:04:20	The TV was on in their room.	N
