Unnamed: 0	start	end	text	label
0	00:00:13	00:00:17	( women laughing ) We are just warming up, my girl.	N
1	00:00:17	00:00:19	Wait, wait, wait.	N
2	00:00:19	00:00:20	I don't think this is the right way.	N
3	00:00:20	00:00:21	It's a shortcut.	N
4	00:00:21	00:00:23	A shortcut? To where?	N
5	00:00:24	00:00:25	( thumping ) Stop.	N
6	00:00:25	00:00:27	Stop the car.	N
7	00:00:27	00:00:29	It was just a pothole.	N
8	00:00:29	00:00:31	I think you hit someone.	N
9	00:00:45	00:00:47	The blonde behind the wheel.	N
10	00:00:47	00:00:49	Girlfriend in the passenger seat called it in.	N
11	00:00:49	00:00:53	Vehicular manslaughter.	N
12	00:00:55	00:00:56	Taillight?	N
13	00:00:57	00:00:58	Yeah.	N
14	00:01:00	00:01:03	Have you been drinking, Warrick?	N
15	00:01:03	00:01:05	No, I'm having a block party.	N
16	00:01:05	00:01:09	I marked it where I found it-- over on the sidewalk over there.	N
17	00:01:34	00:01:40	Two distinct tire treads-- one wide...	N
18	00:01:40	00:01:47	one narrow. Given the extensive bruising from the wide tread mark the victim was killed by a larger vehicle, not a compact.	N
19	00:01:47	00:01:53	Hey, O'Riley I wouldn't book those suspects just yet.	N
20	00:01:53	00:01:56	I think they ran over a corpse.	N
21	00:02:32	00:02:34	Yo.	N
22	00:02:36	00:02:41	What's up? We got a call about ten minutes ago-- a shooting at Vegas Grounds Coffee Shop, Eighth and Main.	N
23	00:02:41	00:02:42	Multiple fatalities.	N
24	00:02:42	00:02:44	We want this one. You guys get over there.	N
25	00:02:44	00:02:45	Keep me in the loop.	N
26	00:02:45	00:02:47	Keep the media out of it. Right.	N
27	00:02:47	00:02:52	Hey, remember about three months ago I applied to the American Academy meeting in Chicago?	N
28	00:02:52	00:02:55	Well, the deadline for your approval is end of shift today.	N
29	00:02:55	00:02:56	It's not a problem.	N
30	00:02:56	00:02:58	There's important papers...	N
31	00:02:58	00:02:59	You don't have to explain-- consider it done.	N
32	00:02:59	00:03:01	Thank you.	N
33	00:03:01	00:03:02	Good luck.	N
34	00:03:02	00:03:04	Printed your hit-and-run.	N
35	00:03:04	00:03:09	AFIS found a match-- Brian Clemonds, 22 born in Vegas, and he's deaf.	N
36	00:03:09	00:03:11	You can tell he's deaf by his fingerprints?	N
37	00:03:11	00:03:15	Actually, yes-- he was printed as part of a state aid program in '81.	N
38	00:03:15	00:03:19	To confirm, I examined his ear canal.	N
39	00:03:19	00:03:29	Normally, the malleus is shaped like a hammer-- a long, smooth handle connecting to a blunt head-- but Brian's malleus is knotted, both of them-- birth defect.	N
40	00:03:29	00:03:32	There's a college for the deaf about a mile from where we found him.	N
41	00:03:32	00:03:37	So, Brian takes a walk crosses the street, doesn't hear the car, gets creamed.	N
42	00:03:37	00:03:42	The vehicle-- probably a truck or an SUV, based on the width of the tire tread-- takes off.	N
43	00:03:42	00:03:47	Later, along comes a compact-- thump-- runs over his dead body.	N
44	00:03:47	00:03:49	Maybe, maybe not.	N
45	00:03:50	00:03:52	See the dried blood on his knuckles?	N
46	00:03:52	00:03:53	No associated wounding.	N
47	00:03:54	00:03:55	Blood's probably not his.	N
48	00:03:55	00:03:58	You know what that means-- Smackdown-- the kid was in a fight.	N
49	00:03:58	00:04:00	That ended in murder.	N
50	00:04:00	00:04:02	Did you send a sample of his blood to DNA?	N
51	00:04:02	00:04:05	When you find the suspect you'll nail him with his own body fluid.	Y
52	00:04:05	00:04:07	Has his family been notified?	N
53	00:04:07	00:04:08	Not yet.	N
54	00:04:14	00:04:17	One person dead, it's a shame; more than one's a party.	N
55	00:04:17	00:04:19	Get ready to pull a double.	N
56	00:04:49	00:04:54	Papa Roach. Couldn't hear a bomb go off over this.	N
57	00:04:54	00:04:56	Welcome to the caffeine wars.	N
58	00:04:56	00:04:58	We got four dead, one on the way to the hospital.	N
59	00:04:58	00:05:00	The kid who belonged to those headphones.	N
60	00:05:00	00:05:02	I count two-- where are the others?	N
61	00:05:02	00:05:06	One behind the counter; one in the back room. Guy wasn't light with the ammo.	Y
62	00:05:06	00:05:07	This place is raining shell casings.	N
63	00:05:10	00:05:11	Hey, I know this guy.	N
64	00:05:11	00:05:13	I bet you do. Who doesn't know Frankie Flynn?	N
65	00:05:13	00:05:15	Used to own the Orpheus.	N
66	00:05:15	00:05:17	Lost his gaming license a couple of years ago.	N
67	00:05:17	00:05:20	Oh, yeah. Too many dips in the chips.	N
68	00:05:20	00:05:22	Yeah, you got that right. Who's the muscle?	N
69	00:05:22	00:05:25	This is, uh, Al Robson Frankie Flynn's bodyguard.	N
70	00:05:25	00:05:28	Cash taken? Till's full and all the wallets are accounted for.	N
71	00:05:28	00:05:32	I don't think anyone was interested in the, uh, cash... or the coffee.	N
72	00:05:32	00:05:36	You're thinking hit?	N
73	00:05:36	00:05:39	Maybe. Frankie drives a bullet-proof car.	N
74	00:05:39	00:05:41	What does that tell you?	N
75	00:05:43	00:05:47	She's probably still in high school.	N
76	00:06:01	00:06:03	Bless her heart.	N
77	00:06:08	00:06:16	Assuming Flynn was the target and it was a hit the shooter followed Flynn in the front door...	Y
78	00:06:16	00:06:18	shot the muscle first...	N
79	00:06:19	00:06:21	then Flynn...	N
80	00:06:21	00:06:24	and some poor kid minding his own business.	N
81	00:06:25	00:06:27	The girls were last.	N
82	00:06:31	00:06:33	Four dead.	N
83	00:06:33	00:06:36	One is still alive.	N
84	00:06:40	00:06:42	Make that five.	N
85	00:06:42	00:06:44	Guy died on the way to the hospital.	N
86	00:06:51	00:06:52	Mrs. Clemonds?	N
87	00:06:52	00:06:53	Yes?	N
88	00:06:54	00:06:55	My name is Gil Grissom.	N
89	00:06:55	00:06:56	I'm with the Las Vegas Crime Lab.	N
90	00:06:57	00:06:59	Crime Lab?	N
91	00:06:59	00:07:01	May I come in for a minute?	N
92	00:07:01	00:07:03	Okay.	N
93	00:07:12	00:07:13	My son is deaf.	N
94	00:07:13	00:07:16	That bell is connected to the doorbell.	N
95	00:07:16	00:07:21	The bell sets off vibrations which reverberate on the floorboards so that he knows someone's at the door.	N
96	00:07:21	00:07:25	Yes.	N
97	00:07:26	00:07:29	Mrs. Clemonds, I'm here about your son Brian.	N
98	00:07:31	00:07:34	There's no easy way to say this.	N
99	00:07:36	00:07:40	Oh, God, please, no.	N
100	00:07:41	00:07:44	Brian was killed tonight.	N
101	00:07:44	00:07:48	No, no... no...	N
102	00:07:55	00:07:56	This is my fault.	N
103	00:07:56	00:07:59	No. No, it's not.	N
104	00:07:59	00:08:05	When I was pregnant, I had the German measles and the virus took away his hearing.	N
105	00:08:05	00:08:06	It's my fault.	N
106	00:08:06	00:08:09	No, Mrs. Clemonds...	N
107	00:08:09	00:08:11	we think he might have been murdered.	N
108	00:08:11	00:08:13	Murdered?	N
109	00:08:15	00:08:19	Would you like to talk to a family services counselor?	N
110	00:08:20	00:08:23	Talking is overrated, Mr. Grissom.	N
111	00:08:24	00:08:28	Just find out who did this to my boy.	N
112	00:08:28	00:08:30	Please.	N
113	00:08:30	00:08:32	It's been a hell of a night.	N
114	00:08:32	00:08:34	First the deaf kid, now a hit.	N
115	00:08:34	00:08:36	It's going to take a while to process all the bodies.	N
116	00:08:36	00:08:38	What do you know about Flynn?	N
117	00:08:38	00:08:40	I always start with the celebrities.	N
118	00:08:40	00:08:45	Frankie Flynn, 38 gunshot wounds to the head and the abdomen. Any bullets recovered?	N
119	00:08:45	00:08:48	Only one, out of the head-- uh, nine-millimeter .357.	N
120	00:08:48	00:08:50	I deal with the pin cushions.	N
121	00:08:50	00:08:53	Ballistics deals with the pins.	N
122	00:08:53	00:08:56	Shooter could have saved himself a lot of trouble if he'd waited a month or two.	Y
123	00:08:56	00:08:58	Why?	N
124	00:08:58	00:08:59	Invasive colon cancer.	N
125	00:08:59	00:09:01	On his way out.	N
126	00:09:01	00:09:02	Guess he got off easy.	N
127	00:09:05	00:09:07	I.D.?	N
128	00:09:07	00:09:09	Erin McCarty, 20.	N
129	00:09:09	00:09:11	Wonder if she even knew she was pregnant.	N
130	00:09:11	00:09:14	Just keeps getting better.	N
131	00:09:14	00:09:16	Someone notify the husband?	N
132	00:09:16	00:09:19	Cop said she's single-- she lives at home with her mother.	N
133	00:09:19	00:09:22	How far along was she?	N
134	00:09:22	00:09:25	About six weeks. She knew.	N
135	00:09:42	00:09:46	Another nine-millimeter, just like our casings.	N
136	00:09:46	00:09:50	Nine bullets, all the same caliber.	N
137	00:09:50	00:09:52	Looks like Robson never got a shot off.	N
138	00:09:52	00:09:55	I wouldn't want him as my bodyguard.	N
139	00:09:55	00:09:56	Need help with the measurements?	N
140	00:09:56	00:09:58	Sure.	N
141	00:09:58	00:10:00	Captain, I got the manager outside.	Y
142	00:10:00	00:10:02	Okay.	N
143	00:10:02	00:10:04	That's the guy right there.	Y
144	00:10:04	00:10:05	This one?	Y
145	00:10:05	00:10:07	Yep, that's the one.	Y
146	00:10:09	00:10:12	I'm Detective Brass. Catherine Willows.	N
147	00:10:12	00:10:14	Nick Stokes from the Crime Lab.	N
148	00:10:14	00:10:16	Brad Kendall. I heard it on the news.	Y
149	00:10:16	00:10:18	They're saying it was some kind of a hit.	N
150	00:10:18	00:10:19	Where are Erin and Alice?	N
151	00:10:21	00:10:23	They didn't make it.	N
152	00:10:27	00:10:30	Wait... Did you call their parents?	N
153	00:10:30	00:10:32	Once the coroner makes a positive I.D.	N
154	00:10:32	00:10:34	their families will be notified.	N
155	00:10:34	00:10:38	Shooting occurred around closing time.	N
156	00:10:38	00:10:41	Is it customary for your employees to close up?	Y
