	Unnamed: 0.1	Unnamed: 0	start	end	text	label
0	0	0	00:00:41	00:00:44	I don't think I can get a clear shot.	N
1	1	1	00:00:45	00:00:46	It's a peregrine falcon.	N
2	2	2	00:00:46	00:00:48	No, it's not. It's a hawk.	N
3	3	3	00:00:48	00:00:50	You can't see anything this time of day.	N
4	4	4	00:00:50	00:00:52	We should come back at dawn.	N
5	5	5	00:00:52	00:00:53	But I'm so behind on my life list.	N
6	6	6	00:00:53	00:00:56	I still don't have a western wood-pewee or a solitary sandpiper.	N
7	7	7	00:00:56	00:00:58	What, do you think they're going to kick you out of the club?	N
8	8	8	00:00:58	00:01:00	John saw a dickcissel earlier today.	N
9	9	9	00:01:00	00:01:01	It could be gone tomorrow.	N
10	10	10	00:01:01	00:01:02	John's full of...	N
11	11	11	00:01:04	00:01:06	Corvus corax.	N
12	12	12	00:01:06	00:01:08	A common raven?	N
13	13	13	00:01:08	00:01:09	So what?	N
14	14	14	00:01:26	00:01:28	Well, someone's missing a contact lens.	N
15	15	15	00:01:28	00:01:31	That's not all they're missing.	N
16	16	16	00:01:31	00:01:36	You know, ravens, like eagles, have been known to travel 30 miles from roost to feeding ground.	N
17	17	17	00:01:37	00:01:40	30 miles in every direction.	N
18	18	18	00:01:40	00:01:42	pi-r-squared.	N
19	19	19	00:01:42	00:01:45	That means that we're looking at a...	N
20	20	20	00:01:45	00:01:47	2,800 mile search area.	N
21	21	21	00:01:49	00:01:56	Once upon a midnight dreary While I pondered Weak and weary Over many a quaint and curious Volume of forgotten lore.	N
22	22	22	00:01:56	00:01:59	We're up a tree and you're quoting Poe.	N
23	23	23	00:01:59	00:02:00	Give me something.	N
24	24	24	00:02:01	00:02:05	Quoth the Raven, 'Only this...	N
25	25	25	00:02:05	00:02:07	and nothing more.	N
26	26	26	00:03:52	00:03:56	You'll be pleased to know the eyeball was only slightly desiccated.	N
27	27	27	00:03:56	00:03:58	And what about the iris?	N
