	start	end	text
0	00:00:10	00:00:12	I'm going to make this really simple.
1	00:00:12	00:00:14	Who are you workin' with?
2	00:00:14	00:00:17	I'm, uh, unemployed at the moment.
3	00:00:17	00:00:20	You got any idea what we did to chumps like you back in the day?
4	00:00:22	00:00:23	Uh, no.
5	00:00:23	00:00:27	Look, could you put the A.C. on in here or somethin'?
6	00:00:27	00:00:30	That, or just, uh, let me go.
7	00:00:30	00:00:31	I mean, you can't keep me in here.
8	00:00:32	00:00:33	It's against the law.
9	00:00:33	00:00:36	There's no law in this room.
10	00:00:40	00:00:42	You can't touch me.
11	00:00:45	00:00:48	Two shots to the back of the head.
12	00:00:48	00:00:50	Double tap.
13	00:00:55	00:00:58	He's wearing a wig and a fat suit.
14	00:00:58	00:01:00	It's not Halloween, is it?
15	00:01:00	00:01:02	In this town, it's always Halloween.
16	00:01:05	00:01:06	Ernie Menlo.
17	00:01:06	00:01:10	Well, he wasn't carrying a very fat wad.
18	00:01:10	00:01:12	Rolex is still on his wrist.
19	00:01:12	00:01:14	Probably rules out robbery.
20	00:01:14	00:01:16	What do you think?
21	00:01:16	00:01:17	I don't know.
22	00:01:22	00:01:24	I'm looking for a sign.
23	00:01:56	00:01:57	He's not in the system?
24	00:01:57	00:01:59	Yeah... gotta be.
25	00:01:59	00:02:01	Okay. Thanks.
26	00:02:03	00:02:04	So, uh...
27	00:02:04	00:02:06	Brass ran the ID.
28	00:02:06	00:02:08	There's no Ernie Menlo in the system.
29	00:02:08	00:02:10	Fake.
30	00:02:10	00:02:12	GSR in the wound track.
31	00:02:12	00:02:15	No stellate tearing.
32	00:02:15	00:02:20	Gunshots appear to be close range, but noncontact.
33	00:02:23	00:02:25	No exit wounds.
34	00:02:25	00:02:29	Well, I don't see any shell casings either.
35	00:02:29	00:02:33	So maybe the killer picked them up.
36	00:02:33	00:02:34	Professional hit?
37	00:02:36	00:02:40	Major fractures and lacerations on his hands.
38	00:02:40	00:02:41	Lividity's consistent with body position.
39	00:02:41	00:02:43	I don't think it was a body dump.
40	00:02:43	00:02:45	So either he walked in or he got a ride.
41	00:02:46	00:02:49	Either way, this gravel and glass makes good evidence.
42	00:02:50	00:02:52	I'll go ahead and bag a sample.
43	00:03:37	00:03:41	Rampart Casino.
44	00:03:41	00:03:42	Well, his day started out good.
45	00:03:42	00:03:46	He won $436,278.
46	00:03:46	00:03:49	Rampart's always been lucky for me.
47	00:03:49	00:03:51	So where is this money?
48	00:04:00	00:04:02	I found some tire treads.
